x1,x2,x3,x4,x5,x6,x7,x8,x9
90.2,10,41.9174,44.9,1610,9.44,56.2,5.82,553
16.6,28,267.895,48.6,9930,4.49,76.3,1.65,4090
27.3,38.4,185.982,31.4,12900,16.1,76.5,2.89,4460
119,62.3,100.605,42.9,5900,22.4,60.1,6.16,3530
10.3,45.5,735.66,58.9,19100,1.44,76.8,2.13,12200
14.5,18.9,834.3,16,18700,20.9,75.8,2.37,10300
18.1,20.8,141.68,45.3,6700,7.77,73.3,1.69,3220
39.2,54.3,343.392,20.7,16000,13.8,69.1,1.92,5840
13.8,35,2209.2,43.7,22900,-0.393,73.8,1.86,28000
8.6,69.5,1028.79,50.9,41100,7.44,76,2.16,20700
49.4,16,26.6816,21.8,2440,7.14,70.4,2.33,758
14.2,39.5,1275.2,48.7,15300,0.321,76.7,1.78,16000
5.5,51.4,338.283,64.5,16200,15.1,70.4,1.49,6030
18.8,58.2,225.68,57.5,7880,1.14,71.4,2.71,4340
111,23.8,31.078,37.2,1820,0.885,61.8,5.36,758
42.7,42.5,113.36,70.7,6420,5.99,72.1,2.38,2180
46.6,41.2,95.832,34.3,5410,8.78,71.6,3.2,1980
6.9,29.7,511.71,51.3,9720,1.4,76.8,1.31,4610
52.5,43.6,527.05,51.3,13300,8.92,57.1,2.88,6350
19.8,10.7,1009.12,11.8,14500,8.41,74.2,1.8,11200
10.8,50.2,469.908,53,15300,1.11,73.9,1.57,6840
116,19.2,38.755,29.6,1430,6.81,57.9,5.87,575
93.6,8.92,26.796,39.2,764,12.3,57.7,6.26,231
44.4,54.1,44.6448,59.5,2520,3.12,66.1,2.88,786
108,22.2,67.203,27,2660,1.91,57.3,5.11,1310
26.5,32.7,135.379,61.8,5830,0.505,72.5,2.67,3310
149,11.8,17.7508,26.5,888,2.01,47.5,5.21,446
150,36.8,40.6341,43.5,1930,6.39,56.5,6.59,897
8.7,37.7,1026.84,31.3,19400,8.96,79.1,1.88,12900
15.7,26.3,231.192,22.6,9530,6.94,74.6,1.59,4560
18.6,15.9,474.375,17.8,10900,3.86,76.4,2.01,6250
88.2,16.5,34.6819,51.7,1410,3.87,65.9,4.75,769
116,41.1,26.4194,49.6,609,20.8,57.5,6.54,334
63.9,85.1,67.404,54.7,5190,20.7,60.4,4.95,2740
10.2,33.2,893.8,35,13000,6.57,80.4,1.92,8200
111,50.6,64.66,43.3,2690,5.39,56.3,5.27,1220
5.5,37.6,1047.6,38.1,20100,0.821,76.3,1.55,13500
3.6,50.2,1838.76,57.5,33900,2.01,79.9,1.42,30800
3.4,66,1560.24,62.9,28300,-1.43,77.5,1.51,19800
34.4,22.7,338.99,33.3,11100,5.44,74.6,2.6,5450
25.1,27.9,375.596,32.4,9350,7.47,76.7,2.66,4660
29.1,21.3,121.16,26.6,9860,10.1,70.5,3.19,2600
19.2,26.9,206.609,46.6,7300,2.65,74.1,2.27,2990
111,85.8,766.08,58.9,33700,24.9,60.9,5.21,17100
55.2,4.79,12.8212,23.3,1420,11.6,61.7,4.61,482
4.5,75.1,880.38,68.7,22700,1.74,76,1.72,14600
24.1,57.8,177.39,63.9,7350,4.23,65.3,2.67,3650
63.7,57.7,306.25,18.9,15400,16.6,62.9,4.08,8750
80.3,23.8,31.9778,42.7,1660,4.3,65.5,5.71,562
16.5,35,298.96,52.8,6730,8.55,72.8,1.92,2960
74.7,29.5,68.382,45.9,3060,16.6,62.2,4.27,1310
14.6,23.8,431.882,49.2,11200,0.48,71.3,2.24,7370
35.4,25.8,193.855,36.3,6710,5.14,71.3,3.38,2830
109,30.3,31.9464,43.2,1190,16.1,58,5.34,648
114,14.9,46.495,35.2,1390,2.97,55.6,5.05,547
37.6,51.4,163.552,79.1,5840,5.73,65.5,2.65,3040
208,15.3,45.7442,64.7,1500,5.45,32.1,3.33,662
6,81.8,960.23,76.5,22300,2.33,74.5,1.25,13100
58.8,22.6,54.675,27.1,4410,8.98,66.2,2.6,1350
33.3,24.3,81.171,22.4,8430,15.3,69.9,2.48,3110
19.3,24.4,365.68,19.4,17400,15.9,74.5,1.76,6530
36.9,39.4,378.45,34.1,12700,16.6,67.2,4.56,4500
18.1,31.3,225.108,49.6,8000,9.81,74.7,2.17,4680
21.1,48.3,295.872,69,9470,8.43,75.8,3.66,3680
21.5,44.2,389.103,29.9,20100,19.5,68.4,2.6,9070
62.2,20.7,45.9325,33.6,2480,2.09,62.8,4.37,967
62.7,13.3,168.37,79.9,1730,1.52,60.7,3.84,1490
29.6,51.6,54.384,81.7,2790,10,68.5,3.1,880
78.9,35.4,50.958,49.3,3980,9.2,63.8,3.15,1140
7.8,53.7,754.84,55.1,18300,-0.812,73.1,1.36,11300
10.3,35.8,622.858,60.2,16300,0.238,79.8,1.61,8860
99.7,39.4,129.87,101,2380,4.15,46.5,3.3,1170
89.3,19.1,38.586,92.6,700,5.47,60.8,5.02,327
16.6,65.6,469.48,42.1,29600,14.2,76.1,2.41,12100
6.1,65.3,844.8,67.2,21100,2.38,73.2,1.5,12000
10.4,39.8,321.886,58.1,11400,2.04,74,1.47,4540
62.2,25,15.5701,43,1390,8.79,60.8,4.6,413
90.5,22.8,30.2481,34.9,1030,12.1,53.1,5.31,459
7.9,86.9,398.173,71,21100,7.27,74.5,2.15,9070
13.2,77.6,449.43,65.4,10500,2.88,77.9,2.23,7100
137,22.8,35.2584,35.1,1870,4.37,59.5,6.55,708
6.8,153,1825.15,154,28300,3.83,80.3,1.36,21100
97.4,50.7,52.92,61.2,3320,18.9,68.2,4.98,1200
15,51.2,480,62.2,15900,1.13,73.4,1.57,8000
40,23.5,406.12,81,3340,3.8,65.4,3.46,2860
17.2,39.2,190.71,78.5,3910,11.1,69.7,1.27,1630
26.1,46.7,144.16,56.7,7710,39.2,66.2,2.64,2650
6.8,37,608.548,62.7,14000,1.6,76.4,1.77,6680
33.5,32.2,147.16,43,6440,0.976,73.5,2.58,2830
101,31.5,21.8299,46.2,918,7.64,54.5,5.56,419
64.4,0.109,19.4636,0.0659,3720,7.04,66.8,2.41,988
56,47.8,351.882,60.7,8460,3.56,58.6,3.6,5190
47,9.58,31.08,36.4,1990,15.1,68.3,2.61,592
123,22.2,17.9568,49.1,814,2.55,58.8,7.49,348
130,25.3,118.131,17.4,5150,104,60.5,5.84,2330
11.7,65.7,534.61,41.2,45300,15.6,76.1,2.9,19300
92.1,13.5,22.88,19.4,4280,10.9,65.3,3.85,1040
19.7,70,654.48,78.2,15400,2.59,77.8,2.62,8080
24.1,55.1,189.601,51.5,7290,6.1,74.1,2.73,3230
20.3,27.8,255.016,23.8,9960,5.71,77.9,2.54,5020
31.9,34.8,76.893,36.6,5600,4.22,69,3.16,2130
6,40.1,939.96,42.1,21800,1.66,76.3,1.41,12600
11.5,32.6,459.234,38.8,17800,3.53,73.7,1.59,8230
10,29.2,543.56,21.1,23100,14.2,69.2,1.57,10700
63.6,12,59.115,30,1350,2.61,64.6,4.51,563
18.9,29.2,223.215,53.1,5400,1.72,71.5,4.34,3450
15.7,49.6,827.97,33,45400,17.2,75.1,2.96,19300
66.8,24.9,56.6,40.3,2180,1.85,64,5.06,1000
7.6,32.9,562.64,47.9,12700,5.88,74.7,1.4,5410
14.4,93.8,367.2,108,20400,-4.21,73.4,2.17,10800
160,16.8,52.269,34.5,1220,17.2,55,5.2,399
7,76.3,1459.14,77.8,25200,0.485,75.5,1.43,16600
3.2,64.3,2201.94,62.9,28700,-0.987,79.5,1.57,23400
28.1,49.3,110.295,81.2,1780,6.81,61.7,4.24,1290
53.7,28.6,650.832,27.4,12000,6.35,54.3,2.59,7280
4.1,49.4,1531.53,46.2,30400,3.16,80.1,1.23,22100
11.2,19.6,82.614,26.8,8560,22.8,74.4,2.2,2810
20.7,26.9,278.481,57.1,9920,4.44,71.6,2.07,6230
76.7,19.7,93.536,17.2,3370,19.6,66.3,4.88,1480
24.1,52.5,581.83,38.4,14200,7.2,70.3,2.52,8300
52.4,14.9,44.1324,58.6,2110,12.5,69.6,3.51,738
71.9,18.7,42.1902,29.1,2090,9.25,59.3,5.43,702
14.9,66.5,197.104,60.8,13500,4.08,76.6,1.55,5080
62.6,2.2,328.32,27.8,1850,26.5,71.1,6.23,3600
90.3,40.2,37.332,57.3,1210,1.18,58.7,4.87,488
17.4,12.4,179.985,60.3,4980,3.68,69.9,3.91,3550
17.4,50.5,257.094,55.3,10400,3.82,76.9,2.14,4140
19.1,20.4,721.18,25.5,18000,7.01,78.2,2.15,10700
62,76.3,111,44.5,9940,2.31,67.9,2.83,4440
81,17.1,53.6095,28.6,1540,10.6,56.8,6.15,595
11.7,47.1,229.284,51.1,7820,13.4,70.4,1.44,2970
10.6,26.3,993.65,25.4,17100,4.91,76.4,2.08,11900
36.3,31.7,80.178,28.5,4240,16.5,68.8,2.34,1380
29.2,46.6,155.925,52.7,2950,2.62,63,3.5,2970
17.1,28.5,662.85,17.6,16500,45.9,75.4,2.47,13500
23.3,72,89.604,80.2,4490,12.1,73.1,1.95,1310
56.3,30,67.858,34.4,4480,23.6,67.5,4.67,1310
83.1,37,85.994,30.9,3280,14,52,5.4,1460
